Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 125.0.0.0,,,24-05-2024 08:52:43,24-05-2024 09:01:55,9m - 11.594s,FAILED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:52:44,24-05-2024 08:53:04,20.639s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:52:44,24-05-2024 08:52:48,3.494s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:52:48,24-05-2024 08:52:51,3.459s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:52:51,24-05-2024 08:52:52,0.373s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:52:52,24-05-2024 08:52:52,0.763s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:52:52,24-05-2024 08:52:53,0.658s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:52:53,24-05-2024 08:52:54,0.840s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:52:54,24-05-2024 08:52:56,2.115s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:52:56,24-05-2024 08:52:57,1.434s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:52:57,24-05-2024 08:52:58,0.701s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:52:58,24-05-2024 08:53:01,3.082s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:53:01,24-05-2024 08:53:04,2.513s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,24-05-2024 08:53:04,24-05-2024 08:53:04,0.679s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:53:05,24-05-2024 08:53:21,16.748s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:53:05,24-05-2024 08:53:06,0.942s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:53:06,24-05-2024 08:53:09,3.294s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:53:09,24-05-2024 08:53:09,0.310s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 125.0.0.0,,,24-05-2024 08:53:09,24-05-2024 08:53:10,1.189s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 125.0.0.0,,,24-05-2024 08:53:10,24-05-2024 08:53:11,1.082s,PASSED
"click(findTestObject(""Page_Login/Link_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:53:11,24-05-2024 08:53:12,0.870s,PASSED
"setText(findTestObject(""Page_Login/input_username""), username)",Chrome 125.0.0.0,,,24-05-2024 08:53:12,24-05-2024 08:53:14,1.430s,PASSED
"setText(findTestObject(""Page_Login/input_password""), password)",Chrome 125.0.0.0,,,24-05-2024 08:53:14,24-05-2024 08:53:15,1.040s,PASSED
"click(findTestObject(""Page_Login/button_Login""))",Chrome 125.0.0.0,,,24-05-2024 08:53:15,24-05-2024 08:53:15,0.648s,PASSED
delay(3),Chrome 125.0.0.0,,,24-05-2024 08:53:15,24-05-2024 08:53:18,3.015s,PASSED
"verifyTextPresent(Expected, false)",Chrome 125.0.0.0,,,24-05-2024 08:53:18,24-05-2024 08:53:21,2.255s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,24-05-2024 08:53:21,24-05-2024 08:53:21,0.630s,PASSED
,,,,,,,
Test Cases/TC_Login,Chrome 125.0.0.0,,,24-05-2024 08:53:21,24-05-2024 08:53:38,16.351s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,24-05-2024 08:53:21,24-05-2024 08:53:22,0.876s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 125.0.0.0,,,24-05-2024 08:53:22,24-05-2024 08:53:26,3.274s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,24-05-2024 08:53:26,24-05-2024 08:53:26,0.175s,PASSED
