Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,Chrome 114.0.0.0,,,06-06-2024 13:54:03,06-06-2024 14:01:34,7m - 30.777s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:54:03,06-06-2024 13:54:16,12.224s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:54:04,06-06-2024 13:54:06,2.179s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:54:06,06-06-2024 13:54:09,3.436s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:54:09,06-06-2024 13:54:10,0.324s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:54:10,06-06-2024 13:54:10,0.613s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:54:10,06-06-2024 13:54:11,0.736s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:54:11,06-06-2024 13:54:12,0.985s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:54:12,06-06-2024 13:54:13,1.379s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:54:13,06-06-2024 13:54:14,0.485s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:54:14,06-06-2024 13:54:15,1.100s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:54:15,06-06-2024 13:54:16,0.525s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:54:16,06-06-2024 13:54:26,9.951s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:54:16,06-06-2024 13:54:17,0.971s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:54:17,06-06-2024 13:54:21,3.844s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:54:21,06-06-2024 13:54:21,0.138s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:54:21,06-06-2024 13:54:21,0.688s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:54:21,06-06-2024 13:54:22,0.481s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:54:22,06-06-2024 13:54:22,0.571s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:54:22,06-06-2024 13:54:24,1.145s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:54:24,06-06-2024 13:54:24,0.655s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:54:24,06-06-2024 13:54:25,1.131s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:54:25,06-06-2024 13:54:26,0.267s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:54:26,06-06-2024 13:54:36,10.040s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:54:26,06-06-2024 13:54:27,0.886s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:54:27,06-06-2024 13:54:30,3.131s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:54:30,06-06-2024 13:54:30,0.268s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:54:30,06-06-2024 13:54:31,0.628s,PASSED
"click(findTestObject(""Page_Login/img_Page""))",Chrome 114.0.0.0,,,06-06-2024 13:54:31,06-06-2024 13:54:31,0.783s,PASSED
"click(findTestObject(""Page_Register/Link_Register""))",Chrome 114.0.0.0,,,06-06-2024 13:54:31,06-06-2024 13:54:32,1.031s,PASSED
"setText(findTestObject(""Page_Register/input_email_or_St""), username)",Chrome 114.0.0.0,,,06-06-2024 13:54:32,06-06-2024 13:54:34,1.270s,PASSED
"click(findTestObject(""Page_Register/button_layma""))",Chrome 114.0.0.0,,,06-06-2024 13:54:34,06-06-2024 13:54:34,0.677s,PASSED
"setText(findTestObject(""Page_Register/input_nhapma""), InsertCode)",Chrome 114.0.0.0,,,06-06-2024 13:54:34,06-06-2024 13:54:35,1.025s,PASSED
"setEncryptedText(findTestObject(""Page_Register/input_password""), password)",Chrome 114.0.0.0,,,06-06-2024 13:54:35,06-06-2024 13:54:36,0.302s,FAILED
,,,,,,,
Test Cases/TC_Register,Chrome 114.0.0.0,,,06-06-2024 13:54:36,06-06-2024 13:54:45,8.821s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,06-06-2024 13:54:36,06-06-2024 13:54:37,0.842s,PASSED
"navigateToUrl(""https://hasaki.vn/"")",Chrome 114.0.0.0,,,06-06-2024 13:54:37,06-06-2024 13:54:39,2.682s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,06-06-2024 13:54:39,06-06-2024 13:54:39,0.175s,PASSED
"click(findTestObject(""Page_Login/button_Yes_KhuyenMai""))",Chrome 114.0.0.0,,,06-06-2024 13:54:39,06-06-2024 13:54:40,0.816s,PASSED
